In which country is Hanoi located?,vietnam,,,
Name the one country bordering Nigeria that starts with a B.,benin,,,
Name the largest country in asia?,china,,,
What is the currency of Japan?,japanese yen,yen,,
What is the capital of Cyprus?,niscosia,,,
Name a country bordering Liechtenstein?,switzerland,austria,,
What is the currency in Sweden?,swedish krona,krona,,
What is the biggest state in the United States?,alaska,,,
What state is the Grand Canyon in?,arizona,,,
In which country is Karachi located?,pakistan,,,
What country is Gibraltar a part of?,uk ,united kingdom,the uk,the united kingdom
In which country is Porto located?,portugal,,,
